sample_id,t_delta,t_start,t_end,psnr,clip_edited
0,0.0,0.0,0.3,20.394428253173828,22.14931869506836
0,0.0,0.1,0.3,20.40557861328125,22.08914375305176
0,0.0,0.2,0.3,20.41426658630371,22.409666061401367
0,0.0,0.3,0.3,20.388988494873047,22.20805931091309
0,0.0,0.4,0.3,20.29367446899414,22.09399032592773
0,0.0,0.5,0.3,20.20134925842285,22.42312431335449
0,0.0,0.6,0.3,19.08642196655273,22.14999771118164
0,0.0,0.7,0.3,17.583236694335938,23.37757110595703
0,0.0,0.8,0.3,15.840497016906738,22.66803359985352
0,0.0,0.9,0.3,13.795971870422363,21.966890335083008
0,0.0,1.0,0.3,13.526058197021484,22.23084259033203
1,0.0,0.0,0.3,21.78451538085937,25.35314178466797
1,0.0,0.1,0.3,21.78190422058105,25.26338768005371
1,0.0,0.2,0.3,21.779539108276367,25.10385513305664
1,0.0,0.3,0.3,21.755109786987305,25.08194351196289
1,0.0,0.4,0.3,21.556650161743164,25.538063049316406
1,0.0,0.5,0.3,21.45993423461914,25.26700782775879
1,0.0,0.6,0.3,21.373884201049805,24.90468406677246
1,0.0,0.7,0.3,18.53696060180664,28.764623641967773
1,0.0,0.8,0.3,16.826574325561523,29.431381225585938
1,0.0,0.9,0.3,16.10657501220703,26.01020050048828
1,0.0,1.0,0.3,15.32625675201416,26.48598861694336
2,0.0,0.0,0.3,21.45685768127441,14.096993446350098
2,0.0,0.1,0.3,21.404483795166016,13.971614837646484
2,0.0,0.2,0.3,21.271764755249023,12.969446182250977
2,0.0,0.3,0.3,20.82164764404297,13.892345428466797
2,0.0,0.4,0.3,19.827795028686523,20.825138092041016
2,0.0,0.5,0.3,18.959447860717773,21.35354804992676
2,0.0,0.6,0.3,17.388399124145508,21.128427505493164
2,0.0,0.7,0.3,15.345808029174805,21.177562713623047
2,0.0,0.8,0.3,15.310789108276367,23.15293312072754
2,0.0,0.9,0.3,14.603160858154297,18.41532325744629
2,0.0,1.0,0.3,15.296957969665527,15.638819694519045
3,0.0,0.0,0.3,21.68234062194824,30.691286087036133
3,0.0,0.1,0.3,21.614303588867188,30.73347282409668
3,0.0,0.2,0.3,21.49828338623047,31.20586204528809
3,0.0,0.3,0.3,20.92384910583496,30.802547454833984
3,0.0,0.4,0.3,20.47195816040039,30.519380569458008
3,0.0,0.5,0.3,19.076709747314453,30.127317428588867
3,0.0,0.6,0.3,18.23252296447754,31.0141716003418
3,0.0,0.7,0.3,16.623523712158203,31.93802833557129
3,0.0,0.8,0.3,16.29635238647461,31.62904930114746
3,0.0,0.9,0.3,14.746814727783203,31.32553672790528
3,0.0,1.0,0.3,13.789891242980955,30.16158866882324
4,0.0,0.0,0.3,22.88086128234864,22.919984817504883
4,0.0,0.1,0.3,22.88398551940918,22.76544189453125
4,0.0,0.2,0.3,22.862224578857425,23.018699645996094
4,0.0,0.3,0.3,22.60757637023925,22.9703369140625
4,0.0,0.4,0.3,22.303241729736328,21.65817642211914
4,0.0,0.5,0.3,21.563697814941406,23.48788452148437
4,0.0,0.6,0.3,19.61107635498047,21.934795379638672
4,0.0,0.7,0.3,16.99115562438965,31.515926361083984
4,0.0,0.8,0.3,15.032525062561035,31.99333000183105
4,0.0,0.9,0.3,14.91810131072998,31.27537727355957
4,0.0,1.0,0.3,14.259400367736816,29.442258834838867
5,0.0,0.0,0.3,23.597244262695312,13.315593719482422
5,0.0,0.1,0.3,23.56361961364746,13.32219696044922
5,0.0,0.2,0.3,23.35874366760254,13.232956886291504
5,0.0,0.3,0.3,22.948938369750977,13.92660427093506
5,0.0,0.4,0.3,22.739103317260746,14.44655990600586
5,0.0,0.5,0.3,22.31864547729492,14.783872604370115
5,0.0,0.6,0.3,21.539257049560547,14.346049308776855
5,0.0,0.7,0.3,19.805707931518555,18.92447090148925
5,0.0,0.8,0.3,17.25387191772461,18.03205108642578
5,0.0,0.9,0.3,15.272907257080078,17.348894119262695
5,0.0,1.0,0.3,14.253121376037598,21.510967254638672
6,0.0,0.0,0.3,24.855825424194336,28.53532218933105
6,0.0,0.1,0.3,24.85649681091309,27.18684768676757
6,0.0,0.2,0.3,24.85841560363769,26.449342727661133
6,0.0,0.3,0.3,23.768768310546875,28.953447341918945
6,0.0,0.4,0.3,23.49486541748047,27.597192764282227
6,0.0,0.5,0.3,23.30373191833496,25.98647117614746
6,0.0,0.6,0.3,22.467906951904297,26.22942352294922
6,0.0,0.7,0.3,21.46682548522949,27.87175750732422
6,0.0,0.8,0.3,19.683244705200195,29.88623046875
6,0.0,0.9,0.3,17.00285530090332,29.26245307922364
6,0.0,1.0,0.3,15.35365390777588,20.24071502685547
7,0.0,0.0,0.3,22.05858993530273,24.67474937438965
7,0.0,0.1,0.3,22.059701919555664,24.60227394104004
7,0.0,0.2,0.3,22.060733795166016,24.418399810791016
7,0.0,0.3,0.3,22.050737380981445,24.61603355407715
7,0.0,0.4,0.3,22.029067993164062,24.82047843933105
7,0.0,0.5,0.3,21.97037506103516,25.142621994018555
7,0.0,0.6,0.3,21.93521499633789,24.471281051635746
7,0.0,0.7,0.3,21.862876892089844,24.408105850219727
7,0.0,0.8,0.3,21.938343048095703,24.819828033447266
7,0.0,0.9,0.3,21.59887886047364,24.310571670532227
7,0.0,1.0,0.3,21.41622543334961,24.743053436279297
8,0.0,0.0,0.3,22.318113327026367,9.053390502929688
8,0.0,0.1,0.3,22.29945373535156,7.859277725219727
8,0.0,0.2,0.3,22.277851104736328,7.178625583648682
8,0.0,0.3,0.3,22.21566390991211,6.1185503005981445
8,0.0,0.4,0.3,21.896726608276367,8.466789245605469
8,0.0,0.5,0.3,22.139781951904297,8.707633972167969
8,0.0,0.6,0.3,21.578771591186523,9.944466590881348
8,0.0,0.7,0.3,21.09982109069824,9.997830390930176
8,0.0,0.8,0.3,20.89709854125977,8.3135986328125
8,0.0,0.9,0.3,20.02495384216309,10.381951332092283
8,0.0,1.0,0.3,18.26216697692871,8.577340126037598
9,0.0,0.0,0.3,24.621213912963867,20.53369903564453
9,0.0,0.1,0.3,24.23243904113769,24.29968643188477
