sample_id,t_delta,t_start,t_end,psnr,clip_edited
000000000000,0.0,0.0,0.0,27.450359344482425,22.512250900268555
000000000000,0.0,0.0,0.1,27.43778419494629,22.853479385375977
000000000000,0.0,0.0,0.2,27.389787673950195,22.683439254760746
000000000000,0.0,0.0,0.3,27.29191970825196,22.55602264404297
000000000000,0.0,0.0,0.4,26.944883346557617,22.685565948486328
000000000000,0.0,0.0,0.5,26.0004997253418,23.730602264404297
000000000000,0.0,0.0,0.6,22.36902236938477,23.14253234863281
000000000000,0.0,0.0,0.7,18.65128326416016,23.473041534423828
000000000000,0.0,0.0,0.8,15.020004272460938,21.65519905090332
000000000000,0.0,0.0,0.9,13.26198673248291,20.55265617370605
000000000000,0.0,0.0,1.0,13.13929271697998,21.19232749938965
000000000000,0.0,0.1,0.0,27.43735122680664,22.85266876220703
000000000000,0.0,0.1,0.1,27.4045639038086,22.472131729125977
000000000000,0.0,0.1,0.2,27.355945587158203,22.760927200317383
000000000000,0.0,0.1,0.3,27.25253295898437,22.54826164245605
000000000000,0.0,0.1,0.4,26.90545463562012,23.06354331970215
000000000000,0.0,0.1,0.5,25.967153549194336,23.414669036865234
000000000000,0.0,0.1,0.6,22.3181381225586,22.882036209106445
000000000000,0.0,0.1,0.7,18.66280937194824,24.15328598022461
000000000000,0.0,0.1,0.8,15.011033058166504,21.52076911926269
000000000000,0.0,0.1,0.9,13.260387420654297,20.568323135375977
000000000000,0.0,0.1,1.0,13.13969898223877,21.11006736755371
000000000000,0.0,0.2,0.0,27.392066955566406,22.43114280700684
000000000000,0.0,0.2,0.1,27.35834503173828,22.78048324584961
000000000000,0.0,0.2,0.2,27.26938819885254,22.543418884277344
000000000000,0.0,0.2,0.3,27.146228790283203,22.649883270263672
000000000000,0.0,0.2,0.4,26.79721450805664,23.09110450744629
000000000000,0.0,0.2,0.5,25.89647483825684,23.41172409057617
000000000000,0.0,0.2,0.6,22.27503776550293,23.806604385375977
000000000000,0.0,0.2,0.7,18.641830444335938,23.73871421813965
000000000000,0.0,0.2,0.8,14.99221897125244,21.87652015686035
000000000000,0.0,0.2,0.9,13.258390426635742,20.663593292236328
000000000000,0.0,0.2,1.0,13.131058692932127,21.245830535888672
000000000000,0.0,0.3,0.0,27.29276466369629,22.4875602722168
000000000000,0.0,0.3,0.1,27.253116607666016,22.266010284423828
000000000000,0.0,0.3,0.2,27.142871856689453,22.65549659729004
000000000000,0.0,0.3,0.3,26.93677520751953,23.009017944335938
000000000000,0.0,0.3,0.4,26.52788352966309,23.227783203125
000000000000,0.0,0.3,0.5,25.70706558227539,23.573659896850582
000000000000,0.0,0.3,0.6,22.18367576599121,23.718685150146484
000000000000,0.0,0.3,0.7,18.55405807495117,23.31685447692871
000000000000,0.0,0.3,0.8,14.955678939819336,22.4909725189209
000000000000,0.0,0.3,0.9,13.262324333190918,20.96468544006348
000000000000,0.0,0.3,1.0,13.117168426513672,21.007991790771484
000000000000,0.0,0.4,0.0,26.944786071777344,22.64008140563965
000000000000,0.0,0.4,0.1,26.904705047607425,23.07236289978028
000000000000,0.0,0.4,0.2,26.81559181213379,23.034730911254883
000000000000,0.0,0.4,0.3,26.59184837341309,23.287925720214844
000000000000,0.0,0.4,0.4,26.03064346313477,23.933961868286133
000000000000,0.0,0.4,0.5,25.01308822631836,23.92765617370605
000000000000,0.0,0.4,0.6,21.93954086303711,24.404937744140625
000000000000,0.0,0.4,0.7,18.543516159057617,23.047840118408203
000000000000,0.0,0.4,0.8,14.9509859085083,21.478864669799805
000000000000,0.0,0.4,0.9,13.240897178649902,20.98332405090332
000000000000,0.0,0.4,1.0,13.089950561523438,21.10589408874512
000000000000,0.0,0.5,0.0,26.00139808654785,23.830081939697266
000000000000,0.0,0.5,0.1,25.96947860717773,23.15181541442871
000000000000,0.0,0.5,0.2,25.8861083984375,23.430294036865234
