sample_id,category,t_start,t_end,t_delta,whole_psnr,clip_edited,image_path
0,0_random_140,0.65,0.2,0.0,18.526963,0.232048,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p2.png
0,0_random_140,0.75,0.2,0.0,16.803453,0.239272,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p2.png
0,0_random_140,0.85,0.2,0.0,14.505321,0.218945,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p2.png
0,0_random_140,0.0,0.3,0.0,20.386382,0.225036,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p3.png
0,0_random_140,0.05,0.3,0.0,20.389803,0.225291,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p3.png
0,0_random_140,0.15,0.3,0.0,20.407045,0.225608,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p3.png
0,0_random_140,0.25,0.3,0.0,20.409978,0.225428,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p3.png
0,0_random_140,0.35,0.3,0.0,20.31151,0.227031,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p3.png
0,0_random_140,0.45,0.3,0.0,20.196473,0.225485,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p3.png
0,0_random_140,0.55,0.3,0.0,19.495939,0.224293,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p3.png
0,0_random_140,0.65,0.3,0.0,17.637212,0.230854,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p3.png
0,0_random_140,0.75,0.3,0.0,16.31711,0.23682,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p3.png
0,0_random_140,0.85,0.3,0.0,14.576871,0.230248,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p3.png
0,0_random_140,0.0,0.4,0.0,18.57323,0.229883,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p4.png
0,0_random_140,0.05,0.4,0.0,18.572186,0.230544,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p4.png
0,0_random_140,0.15,0.4,0.0,18.579249,0.23173,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p4.png
0,0_random_140,0.25,0.4,0.0,18.588177,0.232731,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p4.png
0,0_random_140,0.35,0.4,0.0,18.550241,0.235465,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p4.png
0,0_random_140,0.45,0.4,0.0,18.374235,0.232513,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p4.png
0,0_random_140,0.55,0.4,0.0,17.948782,0.226993,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p4.png
0,0_random_140,0.65,0.4,0.0,16.500287,0.23131,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p4.png
0,0_random_140,0.75,0.4,0.0,15.205558,0.235551,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p4.png
0,0_random_140,0.85,0.4,0.0,14.067815,0.226799,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p4.png
0,0_random_140,0.0,0.5,0.0,16.630036,0.234583,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p5.png
0,0_random_140,0.05,0.5,0.0,16.62998,0.234823,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p5.png
0,0_random_140,0.15,0.5,0.0,16.631744,0.23439,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p5.png
0,0_random_140,0.25,0.5,0.0,16.640195,0.234587,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p5.png
0,0_random_140,0.35,0.5,0.0,16.627285,0.233863,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p5.png
0,0_random_140,0.45,0.5,0.0,16.643171,0.235567,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p5.png
0,0_random_140,0.55,0.5,0.0,16.340011,0.232654,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p5.png
0,0_random_140,0.65,0.5,0.0,15.283851,0.235137,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p5.png
0,0_random_140,0.75,0.5,0.0,13.99197,0.237076,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p5.png
0,0_random_140,0.85,0.5,0.0,13.503299,0.230194,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p5.png
0,0_random_140,0.0,0.6,0.0,15.142937,0.241249,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p6.png
0,0_random_140,0.05,0.6,0.0,15.141023,0.241383,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p6.png
0,0_random_140,0.15,0.6,0.0,15.144352,0.242273,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p6.png
0,0_random_140,0.25,0.6,0.0,15.150838,0.241604,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p6.png
0,0_random_140,0.35,0.6,0.0,15.122869,0.242716,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p6.png
0,0_random_140,0.45,0.6,0.0,15.099064,0.242334,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p6.png
0,0_random_140,0.55,0.6,0.0,14.738358,0.235425,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p6.png
0,0_random_140,0.65,0.6,0.0,14.148529,0.238285,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p6.png
0,0_random_140,0.75,0.6,0.0,12.794615,0.234894,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p6.png
0,0_random_140,0.85,0.6,0.0,12.573177,0.214171,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p6.png
0,0_random_140,0.0,0.7,0.0,12.539421,0.23544,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p7.png
0,0_random_140,0.05,0.7,0.0,12.539041,0.235409,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p7.png
0,0_random_140,0.15,0.7,0.0,12.538639,0.235284,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p7.png
0,0_random_140,0.25,0.7,0.0,12.526946,0.235209,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p7.png
