sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000000,annotation_images,0.3,0.8,0.0,12.856539726257324,28.399831771850586,/00000000/cells/t_start_0p3__t_end_0p8.jpg
00000000,annotation_images,0.3,0.9,0.0,11.770544052124023,30.609464645385742,/00000000/cells/t_start_0p3__t_end_0p9.jpg
00000000,annotation_images,0.3,1.0,0.0,10.679931640625,27.94761085510254,/00000000/cells/t_start_0p3__t_end_1p0.jpg
00000000,annotation_images,0.4,0.0,0.0,19.71799659729004,17.267837524414062,/00000000/cells/t_start_0p4__t_end_0p0.jpg
00000000,annotation_images,0.4,0.1,0.0,19.1604061126709,19.274642944335938,/00000000/cells/t_start_0p4__t_end_0p1.jpg
00000000,annotation_images,0.4,0.2,0.0,18.12727928161621,18.00310516357422,/00000000/cells/t_start_0p4__t_end_0p2.jpg
00000000,annotation_images,0.4,0.3,0.0,17.06781578063965,18.54102897644043,/00000000/cells/t_start_0p4__t_end_0p3.jpg
00000000,annotation_images,0.4,0.4,0.0,15.991912841796875,19.900156021118164,/00000000/cells/t_start_0p4__t_end_0p4.jpg
00000000,annotation_images,0.4,0.5,0.0,15.246715545654297,21.75236701965332,/00000000/cells/t_start_0p4__t_end_0p5.jpg
00000000,annotation_images,0.4,0.6,0.0,14.207157135009766,25.47444725036621,/00000000/cells/t_start_0p4__t_end_0p6.jpg
00000000,annotation_images,0.4,0.7,0.0,13.173933029174805,25.55813217163086,/00000000/cells/t_start_0p4__t_end_0p7.jpg
00000000,annotation_images,0.4,0.8,0.0,12.775104522705078,29.806169509887695,/00000000/cells/t_start_0p4__t_end_0p8.jpg
00000000,annotation_images,0.4,0.9,0.0,11.80621337890625,31.2009334564209,/00000000/cells/t_start_0p4__t_end_0p9.jpg
00000000,annotation_images,0.4,1.0,0.0,10.693714141845703,27.359861373901367,/00000000/cells/t_start_0p4__t_end_1p0.jpg
00000000,annotation_images,0.5,0.0,0.0,17.589548110961914,19.42625617980957,/00000000/cells/t_start_0p5__t_end_0p0.jpg
00000000,annotation_images,0.5,0.1,0.0,17.519859313964844,19.004323959350586,/00000000/cells/t_start_0p5__t_end_0p1.jpg
00000000,annotation_images,0.5,0.2,0.0,16.91490936279297,19.121110916137695,/00000000/cells/t_start_0p5__t_end_0p2.jpg
00000000,annotation_images,0.5,0.3,0.0,16.129249572753906,19.9246768951416,/00000000/cells/t_start_0p5__t_end_0p3.jpg
00000000,annotation_images,0.5,0.4,0.0,15.391777992248535,18.963560104370117,/00000000/cells/t_start_0p5__t_end_0p4.jpg
00000000,annotation_images,0.5,0.5,0.0,14.749860763549805,25.34358787536621,/00000000/cells/t_start_0p5__t_end_0p5.jpg
00000000,annotation_images,0.5,0.6,0.0,14.194719314575195,32.68319320678711,/00000000/cells/t_start_0p5__t_end_0p6.jpg
