sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image,combined_quality_score
0,0.0,0.0,0.0,27.41766166687012,22.13981437683105,0.4961473130653711
1,0.0,0.0,0.0,28.29838752746582,22.883100509643555,0.5283140134109545
2,0.0,0.0,0.0,28.24260902404785,20.588998794555664,0.48426351313465577
3,0.0,0.0,0.0,27.86025047302246,22.573869705200195,0.5134437750906506
4,0.0,0.0,0.0,31.678129196166992,21.820056915283203,0.5785454080610779
5,0.0,0.0,0.0,33.55740737915039,21.28530502319336,0.6075296685826348
6,0.0,0.0,0.0,36.42853546142578,21.81779670715332,0.6770428458023262
7,0.0,0.0,0.0,26.839845657348636,27.01457977294922,0.5753062853847111
8,0.0,0.0,0.0,31.64994430541992,25.02378463745117,0.6378617524661595
9,0.0,0.0,0.0,35.138370513916016,20.812944412231445,0.6314924004654061
10,0.0,0.0,0.0,29.52876853942871,28.336090087890625,0.655792405238397
11,0.0,0.0,0.0,30.91649627685547,19.272125244140625,0.5151071395742489
12,0.0,0.0,0.0,22.651254653930664,15.949304580688477,0.2815300077213806
13,0.0,0.0,0.0,30.158586502075195,16.44675064086914,0.44655867355790035
14,0.0,0.0,0.0,37.105587005615234,19.63260269165039,0.6502300286708531
15,0.0,0.0,0.0,30.73632049560547,13.082901000976562,0.3956480155169959
16,0.0,0.0,0.0,27.175931930541992,19.793739318847656,0.44726778711460713
17,0.0,0.0,0.0,27.48750114440918,17.693893432617188,0.41446939247281844
18,0.0,0.0,0.0,29.26392364501953,23.3880672454834,0.5577840443935391
19,0.0,0.0,0.0,24.388139724731445,21.2830867767334,0.4172861748031164
20,0.0,0.0,0.0,25.7363338470459,20.94620704650879,0.43895360408243833
21,0.0,0.0,0.0,28.983190536499023,26.80034637451172,0.6157610178438422
22,0.0,0.0,0.0,21.23321533203125,16.6513671875,0.2652416764069362
23,0.0,0.0,0.0,26.019569396972656,26.3494873046875,0.5458555256778677
24,0.0,0.0,0.0,24.4539794921875,27.08173370361328,0.5270708446950498
25,0.0,0.0,0.0,29.61246681213379,21.71789932250977,0.5337864255540994
26,0.0,0.0,0.0,33.15802001953125,17.067485809326172,0.520383258161317
27,0.0,0.0,0.0,26.058927536010746,18.542381286621094,0.40070029787929573
28,0.0,0.0,0.0,33.81179428100586,22.94585609436035,0.6438543132912329
29,0.0,0.0,0.0,28.67571449279785,20.54543876647949,0.49243315001108656
30,0.0,0.0,0.0,21.519119262695312,20.27228546142578,0.3388736275459865
31,0.0,0.0,0.0,33.79488754272461,19.544652938842773,0.5799103604963993
32,0.0,0.0,0.0,30.05101585388184,17.608797073364258,0.46605439785167724
33,0.0,0.0,0.0,30.03396797180176,33.33356857299805,0.7597112285053857
34,0.0,0.0,0.0,21.503087997436523,24.15436363220215,0.4111253883277761
35,0.0,0.0,0.0,23.461801528930664,18.40117835998535,0.34418689785444334
36,0.0,0.0,0.0,31.136808395385746,9.811718940734863,0.34279329809318676
37,0.0,0.0,0.0,22.96421432495117,23.609134674072266,0.43123985443163104
38,0.0,0.0,0.0,29.15375328063965,27.17491912841797,0.6263025651990857
