sample_id,t_delta,t_start,t_end,psnr,clip_edited,combined_quality_score,combined_score
000000000000,0.0,0.0,0.3,18.693532943725582,22.560562133789062,0.6459914900375094,0.5010479667773401
000000000000,0.0,0.1,0.3,18.70817375183105,22.63705062866211,0.6575295874543597,0.5028799791126174
000000000000,0.0,0.2,0.3,18.67802047729492,23.197078704833984,0.71599919190701,0.5133852717992744
000000000000,0.0,0.3,0.3,18.57942008972168,22.938779830932617,0.6677264525251441,0.5061577518779163
000000000000,0.0,0.4,0.3,18.51919174194336,24.154476165771484,0.7956408994624083,0.5290730949239192
000000000000,0.0,0.5,0.3,18.31696891784668,23.59105110168457,0.6927779757359959,0.5135799231087197
000000000000,0.0,0.6,0.3,18.10823440551757,25.287109375,0.8476202767464498,0.5429093375912468
000000000000,0.0,0.7,0.3,16.521188735961914,25.625431060791016,0.5858604319207588,0.5160376715005507
000000000000,0.0,0.8,0.3,16.067777633666992,24.432262420654297,0.363262069303191,0.4826949005134655
000000000000,0.0,0.9,0.3,16.092775344848633,23.969497680664062,0.314962622793372,0.47401584525786855
000000000000,0.0,1.0,0.3,16.901941299438477,21.262454986572266,0.1579618414133068,0.43728270969956845
000000000001,0.0,0.0,0.3,20.056381225585938,26.817249298095703,0.9653296565194348,0.6146065799046572
000000000001,0.0,0.1,0.3,20.053260803222656,27.0505313873291,0.9952158865625276,0.6191824862347082
000000000001,0.0,0.2,0.3,20.070348739624023,26.265520095825195,0.8953728581230852,0.6039237088726745
000000000001,0.0,0.3,0.3,20.096651077270508,26.181241989135746,0.8873515637281126,0.602803616273986
000000000001,0.0,0.4,0.3,20.070301055908203,26.68095016479492,0.9492018562210796,0.6121891591404375
000000000001,0.0,0.5,0.3,19.12078857421875,26.139175415039062,0.7743038992622012,0.5813038390951921
000000000001,0.0,0.6,0.3,19.866886138916016,24.567428588867188,0.6528892781047748,0.5658260586437805
000000000001,0.0,0.7,0.3,19.548778533935547,24.78036499023437,0.6454092014143149,0.563327640944136
000000000001,0.0,0.8,0.3,17.230487823486328,23.763198852539062,0.257988402700097,0.49400048698685267
000000000001,0.0,0.9,0.3,16.972484588623047,23.59465789794922,0.2077008658856466,0.4851838570856669
000000000001,0.0,1.0,0.3,15.561821937561035,23.192113876342773,0.0,0.44730472863407117
000000000002,0.0,0.0,0.3,18.59620475769043,21.81477737426757,0.5,0.48414711732871596
000000000002,0.0,0.1,0.3,18.471715927124023,25.09278106689453,0.7341950216259898,0.5467387675664199
000000000002,0.0,0.2,0.3,18.22036933898925,27.222097396850582,0.8715894916436957,0.5837871338603484
000000000002,0.0,0.3,0.3,17.502002716064453,28.306379318237305,0.890531689208395,0.5901522342245076
000000000002,0.0,0.4,0.3,16.782819747924805,26.151763916015625,0.6673720825796752,0.5320506586071388
000000000002,0.0,0.5,0.3,15.837580680847168,23.560935974121094,0.3920797586117167,0.46048261626620013
000000000002,0.0,0.6,0.3,15.019200325012209,27.06595039367676,0.5832713313610418,0.5128991357741007
000000000002,0.0,0.7,0.3,14.148238182067873,28.50584983825684,0.6156000242638511,0.5231094862388174
000000000002,0.0,0.8,0.3,14.418922424316406,28.089588165283203,0.6078872130987653,0.5205578913609286
000000000002,0.0,0.9,0.3,12.81060791015625,27.525287628173828,0.4267260805079972,0.4752750011688609
000000000002,0.0,1.0,0.3,14.084293365478516,25.504467010498047,0.3857911742580585,0.4620323372312303
000000000003,0.0,0.0,0.3,19.317703247070312,30.08480453491211,0.5369155996132797,0.6639856055828822
000000000003,0.0,0.1,0.3,19.15205955505371,30.44937324523925,0.5693494193462627,0.667732692088624
000000000003,0.0,0.2,0.3,18.66317176818848,29.79509162902832,0.4446007604010294,0.6443618205090726
000000000003,0.0,0.3,0.3,18.11932373046875,30.607097625732425,0.5020365880968716,0.6490042430191967
