sample_id,t_delta,t_start,t_end,psnr,clip_edited
0,0.0,0.0,0.3,18.693532943725582,22.560562133789062
0,0.0,0.1,0.3,18.70817375183105,22.63705062866211
0,0.0,0.2,0.3,18.67802047729492,23.197078704833984
0,0.0,0.3,0.3,18.57942008972168,22.938779830932617
0,0.0,0.4,0.3,18.51919174194336,24.154476165771484
0,0.0,0.5,0.3,18.31696891784668,23.59105110168457
0,0.0,0.6,0.3,18.10823440551757,25.287109375
0,0.0,0.7,0.3,16.521188735961914,25.625431060791016
0,0.0,0.8,0.3,16.067777633666992,24.432262420654297
0,0.0,0.9,0.3,16.092775344848633,23.969497680664062
0,0.0,1.0,0.3,16.901941299438477,21.262454986572266
1,0.0,0.0,0.3,20.056381225585938,26.817249298095703
1,0.0,0.1,0.3,20.053260803222656,27.0505313873291
1,0.0,0.2,0.3,20.070348739624023,26.265520095825195
1,0.0,0.3,0.3,20.096651077270508,26.181241989135746
1,0.0,0.4,0.3,20.070301055908203,26.68095016479492
1,0.0,0.5,0.3,19.12078857421875,26.139175415039062
1,0.0,0.6,0.3,19.866886138916016,24.567428588867188
1,0.0,0.7,0.3,19.548778533935547,24.78036499023437
1,0.0,0.8,0.3,17.230487823486328,23.763198852539062
1,0.0,0.9,0.3,16.972484588623047,23.59465789794922
1,0.0,1.0,0.3,15.561821937561035,23.192113876342773
2,0.0,0.0,0.3,18.59620475769043,21.81477737426757
2,0.0,0.1,0.3,18.471715927124023,25.09278106689453
2,0.0,0.2,0.3,18.22036933898925,27.222097396850582
2,0.0,0.3,0.3,17.502002716064453,28.306379318237305
2,0.0,0.4,0.3,16.782819747924805,26.151763916015625
2,0.0,0.5,0.3,15.837580680847168,23.560935974121094
2,0.0,0.6,0.3,15.019200325012209,27.06595039367676
2,0.0,0.7,0.3,14.148238182067873,28.50584983825684
2,0.0,0.8,0.3,14.418922424316406,28.089588165283203
2,0.0,0.9,0.3,12.81060791015625,27.525287628173828
2,0.0,1.0,0.3,14.084293365478516,25.504467010498047
3,0.0,0.0,0.3,19.317703247070312,30.08480453491211
3,0.0,0.1,0.3,19.15205955505371,30.44937324523925
3,0.0,0.2,0.3,18.66317176818848,29.79509162902832
3,0.0,0.3,0.3,18.11932373046875,30.607097625732425
3,0.0,0.4,0.3,17.265666961669922,30.856067657470703
3,0.0,0.5,0.3,17.60074806213379,32.12299346923828
3,0.0,0.6,0.3,15.827764511108398,30.391788482666016
3,0.0,0.7,0.3,15.651638984680176,31.90774345397949
3,0.0,0.8,0.3,13.515100479125977,33.71908187866211
3,0.0,0.9,0.3,13.661635398864746,30.39683151245117
3,0.0,1.0,0.3,13.410298347473145,33.214725494384766
4,0.0,0.0,0.3,20.49954605102539,25.19122314453125
4,0.0,0.1,0.3,20.48545265197754,25.97464370727539
4,0.0,0.2,0.3,20.20302391052246,29.40642166137696
4,0.0,0.3,0.3,19.347976684570312,30.913162231445312
4,0.0,0.4,0.3,18.06063842773437,31.15580940246582
4,0.0,0.5,0.3,16.692758560180664,32.64921188354492
4,0.0,0.6,0.3,15.649386405944824,35.148197174072266
4,0.0,0.7,0.3,13.280354499816896,35.28569412231445
4,0.0,0.8,0.3,12.920557022094728,36.109413146972656
4,0.0,0.9,0.3,12.60661792755127,33.172245025634766
4,0.0,1.0,0.3,12.662775039672852,32.3300895690918
5,0.0,0.0,0.3,22.538951873779297,21.71798324584961
5,0.0,0.1,0.3,22.53268051147461,21.600971221923828
5,0.0,0.2,0.3,22.55770492553711,20.9024658203125
5,0.0,0.3,0.3,22.404420852661133,20.709184646606445
5,0.0,0.4,0.3,22.35081672668457,20.082618713378903
5,0.0,0.5,0.3,22.03689193725586,20.307641983032227
5,0.0,0.6,0.3,21.43757057189941,20.66256523132324
5,0.0,0.7,0.3,15.541937828063965,22.12519645690918
5,0.0,0.8,0.3,13.472376823425291,29.764158248901367
5,0.0,0.9,0.3,14.319343566894531,31.34505844116211
5,0.0,1.0,0.3,14.16667652130127,24.633071899414062
6,0.0,0.0,0.3,22.67807006835937,32.71839141845703
6,0.0,0.1,0.3,22.600378036499023,33.22072219848633
6,0.0,0.2,0.3,22.42159652709961,33.06105041503906
6,0.0,0.3,0.3,21.825883865356445,32.213340759277344
6,0.0,0.4,0.3,21.52912139892578,32.11064910888672
6,0.0,0.5,0.3,21.061079025268555,32.7939567565918
6,0.0,0.6,0.3,19.87089729309082,32.343528747558594
6,0.0,0.7,0.3,17.949565887451172,33.61317443847656
6,0.0,0.8,0.3,18.83446884155273,34.06296920776367
6,0.0,0.9,0.3,18.966188430786133,35.75803756713867
6,0.0,1.0,0.3,19.69916534423828,31.76742172241211
7,0.0,0.0,0.3,20.898176193237305,26.307111740112305
7,0.0,0.1,0.3,20.89023780822754,27.296594619750977
7,0.0,0.2,0.3,20.88689613342285,27.10887718200684
7,0.0,0.3,0.3,20.851470947265625,27.48037910461425
7,0.0,0.4,0.3,20.880783081054688,27.475265502929688
7,0.0,0.5,0.3,20.91568183898925,26.62297439575196
7,0.0,0.6,0.3,20.93560791015625,26.78579330444336
7,0.0,0.7,0.3,20.928993225097656,27.802160263061523
7,0.0,0.8,0.3,20.785663604736328,26.921934127807617
7,0.0,0.9,0.3,20.37156105041504,26.45970916748047
7,0.0,1.0,0.3,20.42527961730957,25.20939445495605
8,0.0,0.0,0.3,20.20113754272461,23.506441116333008
8,0.0,0.1,0.3,20.201322555541992,25.00247001647949
8,0.0,0.2,0.3,20.18291664123535,22.98794174194336
8,0.0,0.3,0.3,20.01095199584961,22.98521041870117
8,0.0,0.4,0.3,19.18459129333496,27.67254638671875
8,0.0,0.5,0.3,18.996139526367188,26.55396842956543
8,0.0,0.6,0.3,19.378475189208984,26.255884170532227
8,0.0,0.7,0.3,19.6347713470459,26.188108444213867
8,0.0,0.8,0.3,19.66360664367676,22.8276481628418
8,0.0,0.9,0.3,18.860258102416992,25.402624130249023
8,0.0,1.0,0.3,16.801408767700195,28.098892211914062
9,0.0,0.0,0.3,22.38468742370605,25.78179168701172
9,0.0,0.1,0.3,21.99810791015625,26.26288795471192
9,0.0,0.2,0.3,21.37748146057129,25.213972091674805
9,0.0,0.3,0.3,20.53575897216797,25.652145385742188
9,0.0,0.4,0.3,19.59798049926757,24.092716217041016
9,0.0,0.5,0.3,18.624042510986328,24.965856552124023
9,0.0,0.6,0.3,17.704986572265625,24.63380622863769
9,0.0,0.7,0.3,16.363853454589844,25.40637588500977
9,0.0,0.8,0.3,14.250237464904783,24.09442138671875
9,0.0,0.9,0.3,12.439096450805664,25.43100929260254
9,0.0,1.0,0.3,11.836050033569336,24.849279403686523
10,0.0,0.0,0.3,20.655363082885746,36.40192031860352
10,0.0,0.1,0.3,20.600322723388672,37.37829208374024
10,0.0,0.2,0.3,20.55987930297852,35.82213592529297
10,0.0,0.3,0.3,20.27329635620117,37.000526428222656
10,0.0,0.4,0.3,19.796117782592773,35.987239837646484
10,0.0,0.5,0.3,18.741491317749023,35.70719146728516
10,0.0,0.6,0.3,18.425323486328125,33.40949249267578
10,0.0,0.7,0.3,17.1928653717041,32.66032791137695
10,0.0,0.8,0.3,17.957223892211914,35.34566116333008
10,0.0,0.9,0.3,17.746482849121094,36.57487487792969
10,0.0,1.0,0.3,16.04941749572754,31.97749900817871
11,0.0,0.0,0.3,22.234771728515625,20.49164581298828
11,0.0,0.1,0.3,22.172319412231445,20.59516716003418
11,0.0,0.2,0.3,22.05823516845703,20.905685424804688
11,0.0,0.3,0.3,21.68852424621582,22.71250915527344
11,0.0,0.4,0.3,21.522294998168945,24.04181289672852
11,0.0,0.5,0.3,21.160823822021484,24.4202938079834
11,0.0,0.6,0.3,20.791757583618164,25.30832862854004
11,0.0,0.7,0.3,19.34032821655273,26.20022964477539
11,0.0,0.8,0.3,17.814908981323242,26.32185745239257
11,0.0,0.9,0.3,16.345531463623047,24.209903717041016
11,0.0,1.0,0.3,17.953580856323242,23.13755798339844
12,0.0,0.0,0.3,16.72939682006836,23.306861877441406
12,0.0,0.1,0.3,16.69392204284668,22.793710708618164
12,0.0,0.2,0.3,16.432634353637695,22.732887268066406
12,0.0,0.3,0.3,15.954595565795898,25.15403938293457
12,0.0,0.4,0.3,15.287818908691406,23.99502182006836
12,0.0,0.5,0.3,14.431568145751951,24.70165252685547
12,0.0,0.6,0.3,13.47836208343506,23.75659370422364
12,0.0,0.7,0.3,13.076261520385742,24.2620906829834
12,0.0,0.8,0.3,11.97737979888916,24.12071228027344
12,0.0,0.9,0.3,10.444772720336914,23.68071937561035
12,0.0,1.0,0.3,11.047895431518556,23.766019821166992
13,0.0,0.0,0.3,22.146583557128903,19.85194206237793
13,0.0,0.1,0.3,22.0838623046875,20.75438117980957
13,0.0,0.2,0.3,21.882299423217773,22.00554656982422
13,0.0,0.3,0.3,21.560073852539062,22.07794570922852
13,0.0,0.4,0.3,20.86649513244629,22.914934158325195
13,0.0,0.5,0.3,20.81993103027344,23.376583099365234
13,0.0,0.6,0.3,19.762819290161133,23.82334899902344
13,0.0,0.7,0.3,18.813045501708984,23.35653686523437
13,0.0,0.8,0.3,16.285030364990234,22.027313232421875
13,0.0,0.9,0.3,15.810952186584473,22.61314392089844
13,0.0,1.0,0.3,16.236099243164062,20.884639739990234
14,0.0,0.0,0.3,22.795026779174805,19.850690841674805
14,0.0,0.1,0.3,22.793275833129883,19.679208755493164
14,0.0,0.2,0.3,22.74863052368164,19.401247024536133
