t_start,n,mean_psnr,mean_clip,mean_combined,median_combined
0.0,700,22.08255862917219,20.19148839065007,0.6386311394902027,0.5872218097723914
0.1,700,22.077742730549403,20.263313524382454,0.6446539400338378,0.592666355915779
0.2,700,22.049131702695576,20.353459490367346,0.6494039322360977,0.6047188569047617
0.3,700,21.907469178608487,20.522734803472247,0.6510750600430583,0.6038972788188233
0.4,700,21.6290155342647,20.888262883595058,0.655458332936251,0.6221025772584142
0.5,700,21.192172347477506,21.221425522395542,0.6476461832552514,0.6342623990639589
0.6,700,20.46535185268947,21.662154965400696,0.6202009243574388,0.6087883964886571
0.7,700,19.27927765437535,22.035685905047824,0.5585462547414031,0.5569007771792704
0.8,700,18.00453074455261,22.319629269327436,0.4861280201823083,0.49456337749748375
0.9,700,16.732468570981705,22.567900287083216,0.40607058620787734,0.4361688593246766
1.0,700,15.626529788970947,22.36203884601593,0.3084299941054233,0.3436976837525858
