file_id,classifier_full_sdturbo_t00_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t00_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t01_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t01_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t02_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t02_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t03_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t03_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t04_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t04_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t05_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t05_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t06_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t06_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t07_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t07_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t08_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t08_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t09_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t09_delta0_tc030|clip_similarity_target_image_edit_part,classifier_full_sdturbo_t10_delta0_tc030|psnr_unedit_part,classifier_full_sdturbo_t10_delta0_tc030|clip_similarity_target_image_edit_part
000000000000,27.899887084960938,22.14931869506836,27.908161163330078,22.089143753051758,27.90080451965332,22.409666061401367,27.7581844329834,22.208059310913086,27.562713623046875,22.093990325927734,27.222108840942383,22.423124313354492,24.120485305786133,22.14999771118164,21.846454620361328,23.37757110595703,20.40431785583496,22.668033599853516,17.757200241088867,21.966890335083008,17.85931396484375,22.23084259033203
000000000001,22.913578033447266,25.35314178466797,22.90937042236328,25.26338768005371,22.90907096862793,25.10385513305664,22.890090942382812,25.08194351196289,22.692089080810547,25.538063049316406,22.587539672851562,25.26700782775879,22.547082901000977,24.90468406677246,21.224754333496094,28.764623641967773,19.085168838500977,29.431381225585938,18.44289779663086,26.01020050048828,17.91135025024414,26.48598861694336
000000000002,26.531599044799805,14.096993446350098,26.49713134765625,13.971614837646484,26.473276138305664,12.969446182250977,26.241422653198242,13.892345428466797,25.730966567993164,20.825138092041016,24.900794982910156,21.353548049926758,22.470308303833008,21.128427505493164,19.056354522705078,21.177562713623047,19.067848205566406,23.15293312072754,16.524213790893555,18.41532325744629,17.153213500976562,15.638819694519043
000000000003,24.63261604309082,30.691286087036133,24.619001388549805,30.73347282409668,24.656713485717773,31.205862045288086,24.281078338623047,30.802547454833984,24.063392639160156,30.519380569458008,23.218460083007812,30.127317428588867,22.616092681884766,31.014171600341797,21.905115127563477,31.93802833557129,21.091842651367188,31.62904930114746,19.206010818481445,31.325536727905273,17.95535659790039,30.161588668823242
000000000004,28.621810913085938,22.919984817504883,28.60814666748047,22.76544189453125,28.638124465942383,23.018699645996094,28.36652946472168,22.9703369140625,28.217782974243164,21.65817642211914,27.68329429626465,23.487884521484375,26.730104446411133,21.934795379638672,23.4843807220459,31.515926361083984,20.45035743713379,31.993330001831055,20.997726440429688,31.27537727355957,19.11509895324707,29.442258834838867
000000000005,27.137069702148438,13.315593719482422,27.129060745239258,13.322196960449219,27.09739112854004,13.232956886291504,26.921354293823242,13.926604270935059,26.906593322753906,14.44655990600586,27.0244140625,14.783872604370117,26.559043884277344,14.346049308776855,25.26023292541504,18.924470901489258,23.833486557006836,18.03205108642578,21.463594436645508,17.348894119262695,19.11073112487793,21.510967254638672
000000000006,27.124277114868164,28.535322189331055,27.12285804748535,27.186847686767578,27.098678588867188,26.449342727661133,27.046525955200195,28.953447341918945,27.02634048461914,27.597192764282227,26.934232711791992,25.98647117614746,26.685880661010742,26.22942352294922,26.88787841796875,27.87175750732422,25.075302124023438,29.88623046875,24.220521926879883,29.262453079223633,21.732257843017578,20.24071502685547
000000000007,22.623647689819336,24.67474937438965,22.625015258789062,24.60227394104004,22.625795364379883,24.418399810791016,22.614219665527344,24.61603355407715,22.595434188842773,24.820478439331055,22.581058502197266,25.142621994018555,22.502185821533203,24.471281051635742,22.447967529296875,24.408105850219727,22.48557472229004,24.819828033447266,22.13943862915039,24.310571670532227,21.93815040588379,24.743053436279297
000000000008,22.645286560058594,9.053390502929688,22.63260269165039,7.859277725219727,22.62387466430664,7.178625583648682,22.594972610473633,6.1185503005981445,22.43948745727539,8.466789245605469,22.46839141845703,8.707633972167969,21.894939422607422,9.944466590881348,21.38920783996582,9.997830390930176,21.195554733276367,8.3135986328125,20.254730224609375,10.381951332092285,18.43034553527832,8.577340126037598
000000000009,39.657840728759766,20.53369903564453,39.44831848144531,24.299686431884766,39.40948486328125,26.747556686401367,39.0184211730957,26.309350967407227,38.01517105102539,25.80044937133789,35.79454040527344,25.400257110595703,33.06776809692383,25.646608352661133,27.853286743164062,25.03969383239746,25.05389976501465,26.468441009521484,17.110340118408203,24.919214248657227,16.05245590209961,24.51108741760254
